Year,Quarter,Month,DayofMonth,DayOfWeek,Origin,Dest,CRSDepTime,DepDelayMinutes,CRSArrTime,ArrDelayMinutes,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2024,1,1,30,2,PHX,BOS,2225,2,500,19.00,0,0,17,0,2
2024,1,1,30,2,BOS,PHX,1720,85,2134,17.00,4,0,0,0,13
2024,1,1,30,2,LGA,FLL,929,30,1236,23.00,0,0,0,0,23
2024,1,1,30,2,FLL,LGA,1630,0,1929,20.00,0,0,20,0,0
2024,1,1,30,2,BOS,LGA,1900,124,2029,97.00,97,0,0,0,0
2024,1,1,30,2,BOS,DCA,700,0,851,24.00,0,0,24,0,0
2024,1,1,30,2,PBI,HPN,2002,69,2255,73.00,69,0,4,0,0
2024,1,1,30,2,BOS,PIT,1700,29,1853,42.00,29,0,13,0,0
2024,1,1,30,2,EWR,MCO,1543,0,1845,23.00,0,0,23,0,0
2024,1,1,30,2,RSW,JFK,640,31,922,35.00,0,0,35,0,0
2024,1,1,30,2,BOS,DCA,800,0,947,44.00,0,0,44,0,0
2024,1,1,30,2,BOS,PIT,835,52,1034,92.00,52,0,40,0,0
2024,1,1,30,2,BOS,DCA,1000,0,1139,41.00,0,0,41,0,0
2024,1,1,30,2,JFK,ATL,1534,53,1814,31.00,7,0,0,0,24
2024,1,1,30,2,SFO,BOS,900,0,1732,21.00,0,0,21,0,0
2024,1,1,30,2,RSW,BOS,1924,222,2232,196.00,0,0,0,0,196
2024,1,1,30,2,BOS,SFO,830,23,1224,33.00,23,0,10,0,0
2024,1,1,30,2,JFK,PBI,1335,344,1645,325.00,325,0,0,0,0
2024,1,1,30,2,BOS,DCA,1200,43,1350,20.00,15,0,0,0,5
2024,1,1,30,2,BOS,RSW,1442,234,1824,230.00,118,0,0,0,112
2024,1,1,30,2,FLL,DCA,1818,39,2059,41.00,39,0,2,0,0
2024,1,1,30,2,DCA,MCO,1800,63,2033,44.00,0,0,0,0,44
2024,1,1,30,2,BOS,SRQ,625,0,1007,29.00,0,0,29,0,0
2024,1,1,30,2,BOS,DCA,1500,114,1649,107.00,107,0,0,0,0
2024,1,1,30,2,LGA,PBI,1100,0,1404,19.00,0,0,19,0,0
2024,1,1,30,2,BOS,IAH,715,0,1055,47.00,0,0,47,0,0
2024,1,1,30,2,DTW,BOS,1005,17,1200,156.00,0,0,139,0,17
2024,1,1,30,2,BOS,MCO,800,0,1117,90.00,0,0,90,0,0
2024,1,1,30,2,MCO,BOS,1250,53,1557,29.00,9,0,0,0,20
2024,1,1,30,2,BOS,EYW,943,0,1341,38.00,0,0,38,0,0
2024,1,1,30,2,EYW,BOS,1445,64,1810,47.00,0,37,0,0,10
2024,1,1,30,2,BOS,RSW,600,0,939,49.00,0,0,49,0,0
2024,1,1,30,2,RSW,BOS,1039,39,1342,33.00,0,0,0,0,33
2024,1,1,30,2,SFO,JFK,822,0,1700,18.00,0,0,18,0,0
2024,1,1,30,2,JFK,RSW,2015,0,2320,18.00,0,0,18,0,0
2024,1,1,30,2,PIT,BOS,1940,18,2121,28.00,0,0,10,0,18
2024,1,1,30,2,BOS,BUF,1225,0,1402,15.00,0,0,15,0,0
2024,1,1,30,2,BOS,LGA,1200,151,1321,158.00,126,0,7,0,25
